incident_id,title,description,category,root_cause,resolution_steps,timestamp,priority,service_name
0,Network issue #0,Network related failure observed in production,Network,Network latency,"Check routers, reduce traffic load",2026-03-02 21:10:00,Medium,NetworkService
1,Database issue #1,Database related failure observed in production,Database,DB connection pool exhaustion,"Restart service, check connection pool settings",2026-01-23 15:29:00,Medium,AuthService
2,Server issue #2,Server related failure observed in production,Server,Server overload,"Scale server, optimize processes",2026-01-24 10:29:00,Medium,DBService
3,Network issue #3,Network related failure observed in production,Network,Network latency,"Check routers, reduce traffic load",2026-01-11 03:42:00,Critical,NetworkService
4,Network issue #4,Network related failure observed in production,Network,Network latency,"Check routers, reduce traffic load",2026-02-28 06:48:00,Low,AuthService
5,Security issue #5,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-03-02 21:09:00,Low,PaymentService
6,Database issue #6,Database related failure observed in production,Database,DB connection pool exhaustion,"Restart service, check connection pool settings",2026-02-23 20:18:00,High,DBService
7,Database issue #7,Database related failure observed in production,Database,DB connection pool exhaustion,"Restart service, check connection pool settings",2026-02-07 12:49:00,Critical,PaymentService
8,Security issue #8,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-03-02 13:57:00,Low,DBService
9,Database issue #9,Database related failure observed in production,Database,DB connection pool exhaustion,"Restart service, check connection pool settings",2026-01-19 13:36:00,Critical,DBService
10,Network issue #10,Network related failure observed in production,Network,Network latency,"Check routers, reduce traffic load",2026-02-07 01:28:00,High,PaymentService
11,Server issue #11,Server related failure observed in production,Server,Server overload,"Scale server, optimize processes",2026-01-09 06:20:00,Medium,AuthService
12,Database issue #12,Database related failure observed in production,Database,DB connection pool exhaustion,"Restart service, check connection pool settings",2026-02-17 13:56:00,Low,DBService
13,Security issue #13,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-01-17 00:10:00,Critical,NetworkService
14,Database issue #14,Database related failure observed in production,Database,DB connection pool exhaustion,"Restart service, check connection pool settings",2026-02-07 23:59:00,Medium,NetworkService
15,Security issue #15,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-02-16 10:10:00,High,NetworkService
16,Application issue #16,Application related failure observed in production,Application,NullPointerException,"Debug code, fix null checks",2026-02-23 20:54:00,Critical,DBService
17,Server issue #17,Server related failure observed in production,Server,Server overload,"Scale server, optimize processes",2026-02-15 13:58:00,High,AuthService
18,Application issue #18,Application related failure observed in production,Application,NullPointerException,"Debug code, fix null checks",2026-02-25 20:06:00,Medium,DBService
19,Application issue #19,Application related failure observed in production,Application,NullPointerException,"Debug code, fix null checks",2026-03-01 05:48:00,Critical,AuthService
20,Server issue #20,Server related failure observed in production,Server,Server overload,"Scale server, optimize processes",2026-02-07 04:22:00,High,UserService
21,Security issue #21,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-01-28 02:06:00,Critical,AuthService
22,Security issue #22,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-02-12 14:20:00,Critical,NetworkService
23,Security issue #23,Security related failure observed in production,Security,Unauthorized access,"Reset credentials, check audit logs",2026-01-11 23:47:00,Low,AuthService
24,Application issue #24,Application related failure observed in production,Application,NullPointerException,"Debug code, fix null checks",2026-02-24 19:50:00,Medium,UserService
